Date,Open,High,Low,Close,Adj Close,Volume
2012-01-27,41500,42700,41050,42450,42450,2677751
2012-01-30,42450,43200,42200,42800,42800,2016438
2012-01-31,42700,42900,41650,42600,42600,1768103
2012-02-01,42100,42600,41700,42150,42150,1882789
2012-02-02,43200,43900,42900,43400,43400,2449911
2012-02-03,43550,44000,42850,43900,43900,1566072
2012-02-06,44350,44750,43750,44100,44100,2194743
2012-02-07,44500,44600,42850,43450,43450,1685401
2012-02-08,43100,44500,42800,44300,44300,1919173
2012-02-09,44400,45000,43750,45000,45000,1747337
2012-02-10,44450,44800,43300,44000,44000,1764742
2012-02-13,43700,44300,43400,43650,43650,1002067
2012-02-14,43250,44000,42700,44000,44000,1882039
2012-02-15,43800,44300,43600,43900,43900,1355538
2012-02-16,43200,43600,41900,42300,42300,2378738
2012-02-17,43000,43050,42250,42700,42700,1973893
2012-02-20,43200,43250,42000,42150,42150,1569921
2012-02-21,41850,42350,40750,41350,41350,2559244
2012-02-22,40900,41150,40150,40700,40700,2242585
2012-02-23,40900,40950,40200,40650,40650,1547461
2012-02-24,40500,41500,40500,41300,41300,1665554
2012-02-27,40950,41350,40350,40900,40900,1108220
2012-02-28,40700,41600,40700,41350,41350,1010045
2012-02-29,41500,41650,41050,41200,41200,1402288
2012-03-02,41750,42000,41200,41450,41450,1084372
2012-03-05,41900,41900,40600,40950,40950,952362
2012-03-06,41000,41200,40000,40450,40450,1156550
2012-03-07,39950,40450,39600,40350,40350,957150
2012-03-08,40400,41300,40000,41200,41200,1942374
2012-03-09,41650,41650,40550,40800,40800,1144231
2012-03-12,40650,40800,39900,40350,40350,1600784
2012-03-13,40500,41800,40250,41550,41550,3255731
2012-03-14,42750,43350,42550,43150,43150,3345098
2012-03-15,43200,44050,42900,43650,43650,1995477
2012-03-16,43800,43900,43150,43400,43400,1056700
2012-03-19,43800,44400,43150,43300,43300,1943152
2012-03-20,43300,43800,42400,42750,42750,1096613
2012-03-21,42550,44050,42150,43650,43650,1732262
2012-03-22,43450,44500,43300,44100,44100,1739061
2012-03-23,44100,44500,43200,43500,43500,1552772
2012-03-26,43600,43950,43250,43650,43650,1028232
2012-03-27,44000,44150,43350,43500,43500,1225903
2012-03-28,43000,43250,42600,43000,43000,1083091
2012-03-29,42550,42750,41700,42250,42250,1212810
2012-03-30,41450,41800,40950,41350,41350,2320750
2012-04-02,41900,42800,41500,42500,42500,1634557
2012-04-03,42750,42800,42150,42300,42300,1348538
2012-04-04,42750,43950,42600,43000,43000,7556116
2012-04-05,43300,43800,42700,43500,43500,1740436
2012-04-06,43400,43400,42150,42700,42700,1067761
2012-04-09,42200,42300,41100,41600,41600,1067416
2012-04-10,41600,42200,41250,41500,41500,1027689
2012-04-12,42100,42400,41550,42150,42150,1583605
2012-04-13,42500,43200,42150,43150,43150,1408965
2012-04-16,42750,42750,41950,42200,42200,787609
2012-04-17,42100,42700,42050,42500,42500,898783
2012-04-18,43250,43350,42300,42350,42350,598218
2012-04-19,41900,42650,41250,41800,41800,827778
2012-04-20,40900,41400,40750,40900,40900,1059935
2012-04-23,40550,41500,40550,41500,41500,684326
2012-04-24,41100,41150,40600,41000,41000,901243
2012-04-25,41550,41650,40200,40500,40500,1061447
2012-04-26,40650,40800,40000,40100,40100,1226428
2012-04-27,40250,40350,39450,40000,40000,1268417
2012-04-30,40200,40200,38050,38500,38500,2605806
2012-05-02,38500,39100,38050,38800,38800,1878443
2012-05-03,38650,39550,38600,39000,39000,1364417
2012-05-04,39250,39850,38950,39000,39000,849138
2012-05-07,38200,38450,37850,38000,38000,1229154
2012-05-08,38250,39350,38050,39050,39050,1258859
2012-05-09,39000,39100,38550,38700,38700,790475
2012-05-10,38250,38650,38200,38400,38400,786648
2012-05-11,38400,38450,37850,37850,37850,886223
2012-05-14,37800,38100,37300,37750,37750,856054
2012-05-15,36900,37600,36900,37200,37200,939428
2012-05-16,37100,37400,36650,36700,36700,1033605
2012-05-17,36950,37700,36600,36650,36650,1232946
2012-05-18,36000,36300,34900,35400,35400,2034341
2012-05-21,35700,35700,35000,35300,35300,755419
2012-05-22,36000,36800,35650,36200,36200,1956073
2012-05-23,36150,36700,35900,35950,35950,1422657
2012-05-24,36000,36550,35950,36250,36250,890267
2012-05-25,36650,36750,36100,36250,36250,1141006
2012-05-29,36100,37000,36050,36550,36550,1605227
2012-05-30,36700,36850,36200,36650,36650,972441
2012-05-31,36150,37000,35700,36900,36900,1017715
2012-06-01,36550,36900,36250,36850,36850,692256
2012-06-04,35800,36500,35750,36000,36000,967094
2012-06-05,36000,37100,35950,36750,36750,1047599
2012-06-07,37900,38350,37750,38100,38100,1609527
2012-06-08,37900,38150,37300,37800,37800,855349
2012-06-11,38350,39250,38350,39150,39150,1332293
2012-06-12,38300,38900,38300,38500,38500,825134
2012-06-13,38700,38800,38100,38500,38500,694275
2012-06-14,38050,38950,38050,38900,38900,1376195
2012-06-15,39050,39450,38550,39350,39350,1162308
2012-06-18,39950,40350,39700,40200,40200,1303495
2012-06-19,39750,40050,39350,39600,39600,1057236
2012-06-20,39900,39950,39350,39950,39950,638758
2012-06-21,39350,39700,38600,38900,38900,1291059
2012-06-22,38100,38400,37300,37450,37450,1642961
2012-06-25,37100,37350,36650,37300,37300,804220
2012-06-26,36700,37200,36550,36750,36750,1136621
2012-06-27,36850,36850,35900,36100,36100,2073508
2012-06-28,36300,36450,35550,35800,35800,1270297
2012-06-29,35700,37100,35650,36900,36900,2037651
2012-07-02,37450,37500,36850,36850,36850,1299568
2012-07-03,37000,38850,36900,38200,38200,2128559
2012-07-04,38300,38450,37700,37950,37950,915229
2012-07-05,37600,37850,37000,37550,37550,1297945
2012-07-06,37650,37650,36900,37400,37400,859480
2012-07-09,37100,37200,36450,36900,36900,830261
2012-07-10,36500,37150,36350,36800,36800,817331
2012-07-11,36900,37200,36650,36650,36650,560039
2012-07-12,36650,36950,35850,35850,35850,1455860
2012-07-13,36300,36300,35650,35850,35850,1247281
2012-07-16,36150,36250,35600,35650,35650,915410
2012-07-17,35750,36650,35500,36100,36100,946437
2012-07-18,36100,36150,35300,35300,35300,1423022
2012-07-19,35600,35750,34350,34800,34800,2881827
2012-07-20,34500,34850,33950,34650,34650,1668938
2012-07-23,34000,34200,33200,33400,33400,1663463
2012-07-24,33050,33550,33000,33400,33400,1580845
2012-07-25,32950,33300,32500,33000,33000,859665
2012-07-26,33050,34000,33050,33800,33800,1401275
2012-07-27,34500,35100,34150,34500,34500,1573628
2012-07-30,35000,35700,34900,35350,35350,1673086
2012-07-31,35350,36250,34800,36150,36150,1487578
2012-08-01,35800,36100,35400,35450,35450,1111477
2012-08-02,35800,35850,35150,35600,35600,542951
2012-08-03,34950,35050,34400,34950,34950,1182815
2012-08-06,35550,35750,35100,35450,35450,844722
2012-08-07,35450,35650,35100,35550,35550,783293
2012-08-08,36200,36500,35950,36200,36200,2065487
2012-08-09,36450,37500,36350,37350,37350,3247568
2012-08-10,37350,37700,37300,37600,37600,1054928
2012-08-13,37850,37850,37050,37200,37200,778499
2012-08-14,37500,37800,36800,37550,37550,1156321
2012-08-16,37100,37650,36900,37650,37650,885446
2012-08-17,37700,37800,36950,37100,37100,1199337
2012-08-20,37350,37600,37100,37500,37500,714929
2012-08-21,37700,37850,37400,37450,37450,531341
2012-08-22,37550,37700,37000,37400,37400,993228
2012-08-23,37700,38750,37250,38450,38450,1541922
2012-08-24,37700,37800,36800,36800,36800,1800189
2012-08-27,36950,38500,36900,38150,38150,1859400
2012-08-28,38700,38950,37800,38000,38000,1566828
2012-08-29,37950,38400,37550,38050,38050,1080895
2012-08-30,37600,38000,37150,37800,37800,889010
2012-08-31,36950,37250,36700,36750,36750,1139609
2012-09-03,36650,36950,36000,36650,36650,1008638
2012-09-04,36300,37000,36300,36950,36950,917549
2012-09-05,36600,36800,36050,36300,36300,861677
2012-09-06,36100,36550,35950,36500,36500,705929
2012-09-07,38500,38600,37800,38250,38250,2788216
2012-09-10,38600,39250,38350,38350,38350,1733046
2012-09-11,38050,38200,37900,38150,38150,980241
2012-09-12,38450,39250,38350,39000,39000,1632928
2012-09-13,38500,39200,38400,38850,38850,1376994
2012-09-14,40300,40800,39850,40500,40500,3150679
2012-09-17,40850,41750,40650,41200,41200,2132845
2012-09-18,41050,41200,40450,41150,41150,1113157
2012-09-19,40850,41850,40500,41650,41650,1210638
2012-09-20,41200,41850,41150,41400,41400,639408
2012-09-21,41300,41700,40550,41050,41050,935360
2012-09-24,40350,40500,39600,39900,39900,1424899
2012-09-25,39700,40200,39500,39800,39800,727886
2012-09-26,39300,39750,39000,39500,39500,845629
2012-09-27,39500,40000,39150,39500,39500,711362
2012-09-28,39700,39900,39100,39700,39700,837838
2012-10-02,39300,40150,39150,39250,39250,692815
2012-10-04,38650,39150,38050,38600,38600,1489799
2012-10-05,38750,38950,38450,38500,38500,764353
2012-10-08,38450,38500,37900,38100,38100,906340
2012-10-09,38350,38500,38050,38100,38100,463098
2012-10-10,37500,37650,37000,37400,37400,1382238
2012-10-11,37100,37550,36950,37150,37150,927669
2012-10-12,37550,37650,37150,37500,37500,937220
2012-10-15,37100,38050,37000,37750,37750,848738
2012-10-16,38100,38550,37650,38200,38200,762494
2012-10-17,38300,38850,38250,38750,38750,729984
2012-10-18,38950,39450,38850,39250,39250,1167435
2012-10-19,39600,39600,38950,39000,39000,594947
2012-10-22,38500,39000,38050,39000,39000,561089
2012-10-23,38700,38850,37450,38100,38100,1345932
2012-10-24,37650,38200,37450,37750,37750,780976
2012-10-25,37300,37600,36850,37300,37300,1030271
2012-10-26,37200,37950,37000,37000,37000,805945
2012-10-29,37050,37900,37050,37850,37850,680918
2012-10-30,37250,37750,37050,37050,37050,1014997
2012-10-31,37200,37500,36900,37100,37100,730720
2012-11-01,36700,37050,36100,36200,36200,1339179
2012-11-02,36700,37200,36300,37200,37200,753893
2012-11-05,37400,37450,36800,37000,37000,531637
2012-11-06,36700,37400,36600,37250,37250,770574
2012-11-07,37200,37400,36450,36900,36900,1166393
2012-11-08,36250,36650,35700,36150,36150,1749144
2012-11-09,35650,36200,35350,35900,35900,851352
2012-11-12,35600,35750,35200,35700,35700,901532
2012-11-13,35800,35800,35150,35400,35400,605878
2012-11-14,35500,35650,35150,35150,35150,935506
2012-11-15,35000,35250,34550,34950,34950,1042006
2012-11-16,34950,35200,34700,34850,34850,704184
2012-11-19,34950,35150,34800,34800,34800,717680
2012-11-20,35150,35250,34750,34900,34900,622907
2012-11-21,34700,34750,33900,34350,34350,1341544
2012-11-22,34650,35100,34450,34900,34900,825735
2012-11-23,34600,34900,34350,34850,34850,730023
2012-11-26,34850,34850,34350,34500,34500,688078
2012-11-27,34450,35300,34450,35050,35050,1368326
2012-11-28,34300,34700,34000,34350,34350,1618173
2012-11-29,34550,35450,34450,35350,35350,1092513
2012-11-30,35150,36200,35000,35650,35650,1651384
2012-12-03,35300,35900,35300,35700,35700,791350
2012-12-04,35350,35450,35100,35250,35250,582701
2012-12-05,35400,35900,35200,35650,35650,826745
2012-12-06,35400,36200,35200,36000,36000,1783080
2012-12-07,36150,36350,35900,36150,36150,774043
2012-12-10,35300,35950,35250,35950,35950,1032723
2012-12-11,35750,36600,35600,36350,36350,1859558
2012-12-12,36350,36800,36250,36700,36700,1605010
2012-12-13,36350,37700,36300,37700,37700,2644675
2012-12-14,37400,37700,37150,37700,37700,1096620
2012-12-17,37700,38050,37500,37550,37550,1010614
2012-12-18,37600,38250,37600,38200,38200,1346533
2012-12-20,37100,38400,37100,38350,38350,2946951
2012-12-21,38500,38800,37750,38200,38200,1427105
2012-12-24,38200,38200,37500,37800,37800,945805
2012-12-26,38000,38050,37700,37800,37800,797067
2012-12-27,37500,37600,36950,37600,37600,1049509
2012-12-28,37200,38050,37200,37900,37900,954400
2013-01-02,38300,39000,38050,38800,38800,1406360
2013-01-03,39000,39450,38400,39300,39300,1859176
2013-01-04,38900,39300,38800,39150,39150,1025815
2013-01-07,39350,39850,39200,39850,39850,1154847
2013-01-08,39450,39600,38750,38750,38750,1105167
2013-01-09,38500,38700,37950,38200,38200,1214893
2013-01-10,38000,38300,37550,38250,38250,884982
2013-01-11,38350,38550,37800,37850,37850,590885
2013-01-14,37650,38850,37650,38800,38800,1066084
2013-01-15,38300,39150,38150,38200,38200,746959
2013-01-16,38500,38900,38200,38500,38500,783658
2013-01-17,38800,38900,38500,38850,38850,636684
2013-01-18,39250,39650,39050,39400,39400,1018230
2013-01-21,39150,40200,39100,40000,40000,1430299
2013-01-22,40050,40350,39800,40100,40100,961513
2013-01-23,39950,40150,39500,39500,39500,851425
2013-01-24,39500,39550,38950,39400,39400,935404
2013-01-25,39450,39650,38950,39500,39500,1224210
2013-01-28,39800,40950,39500,40750,40750,2371889
2013-01-29,40400,40750,39600,39900,39900,1480886
2013-01-30,39900,40050,39400,39850,39850,862211
2013-01-31,39250,39450,38350,38900,38900,2181927
2013-02-01,38550,38850,38250,38800,38800,1142143
2013-02-04,39300,39400,38700,38700,38700,732602
2013-02-05,37750,38300,37700,38150,38150,1346951
2013-02-06,38100,38150,37400,37800,37800,1594166
2013-02-07,37400,37900,37200,37300,37300,783536
2013-02-08,37300,37850,37200,37550,37550,1083261
2013-02-12,37600,38150,37450,37700,37700,541899
2013-02-13,37800,38600,37800,38200,38200,904047
2013-02-14,38450,38500,37700,38000,38000,1687908
2013-02-15,37450,37650,37050,37200,37200,23081361
2013-02-18,37050,37400,37050,37350,37350,1564322
2013-02-19,37250,37600,37250,37550,37550,1240348
2013-02-20,37700,38850,37700,38700,38700,2960770
2013-02-21,38400,38850,38050,38500,38500,1600853
2013-02-22,38300,39050,38200,38650,38650,1541719
2013-02-25,38900,39050,38600,39000,39000,978140
2013-02-26,38650,38800,38400,38750,38750,1040936
2013-02-27,38750,39000,38500,38850,38850,1059881
2013-02-28,39050,39550,38900,39500,39500,2105749
2013-03-04,39500,39950,39150,39200,39200,1578013
2013-03-05,39250,39500,38650,38850,38850,1452272
2013-03-06,39500,39750,39250,39250,39250,1633302
2013-03-07,39250,39300,38800,39000,39000,1221964
