Date,Open,High,Low,Close,Adj Close,Volume
2012-01-27,258.01,258.88,256.38,258.65,258.65,103438
2012-01-30,257.39,258.12,254.68,255.21,255.21,97916
2012-01-31,255.45,257.88,254.09,256.9,256.9,105571
2012-02-01,255.73,258.81,255.56,257.06,257.06,125417
2012-02-02,260.18,261.96,259.25,260.35,260.35,162792
2012-02-03,259.95,260.09,257.06,258.53,258.53,114436
2012-02-06,261.65,262.0,257.65,258.93,258.93,133300
2012-02-07,259.37,260.26,258.41,259.8,259.8,169724
2012-02-08,260.26,262.94,259.96,262.94,262.94,157645
2012-02-09,261.99,264.5,259.28,264.5,264.5,146866
2012-02-10,263.6,263.77,260.19,261.17,261.17,128415
2012-02-13,262.14,263.56,260.88,262.75,262.75,92770
2012-02-14,261.69,263.08,261.32,262.38,262.38,128315
2012-02-15,263.76,266.13,263.69,265.88,265.88,124833
2012-02-16,262.99,263.93,261.61,261.89,261.89,108158
2012-02-17,265.9,266.84,265.01,265.82,265.82,114220
2012-02-20,268.28,269.26,265.92,265.95,265.95,93695
2012-02-21,265.41,266.89,263.5,265.89,265.89,104149
2012-02-22,264.88,266.69,264.55,266.63,266.63,99175
2012-02-23,264.78,264.78,262.72,263.58,263.58,93834
2012-02-24,263.77,265.2,262.1,265.2,265.2,87389
2012-02-27,264.21,264.33,260.76,261.3,261.3,88070
2012-02-28,262.19,263.93,261.8,263.45,263.45,104865
2012-02-29,265.06,267.68,265.03,267.13,267.13,110705
2012-03-02,268.64,269.5,267.27,267.45,267.45,101552
2012-03-05,266.56,266.9,264.12,264.75,264.75,79269
2012-03-06,265.25,265.94,261.2,262.85,262.85,89749
2012-03-07,258.65,261.17,258.32,260.35,260.35,76945
2012-03-08,261.23,263.55,259.65,262.85,262.85,101648
2012-03-09,265.27,266.33,263.18,265.62,265.62,87937
2012-03-12,265.67,265.74,263.6,263.74,263.74,82961
2012-03-13,265.1,267.74,265.1,266.9,266.9,95564
2012-03-14,270.47,271.68,269.85,269.85,269.85,106298
2012-03-15,269.81,270.61,269.05,269.76,269.76,94162
2012-03-16,271.39,271.48,268.22,268.27,268.27,95675
2012-03-19,269.01,270.61,268.58,270.27,270.27,88412
2012-03-20,270.2,271.59,268.74,269.68,269.68,91829
2012-03-21,268.14,269.46,266.9,267.79,267.79,80315
2012-03-22,267.6,268.45,266.44,267.98,267.98,83235
2012-03-23,266.36,268.44,266.15,267.95,267.95,74561
2012-03-26,269.13,270.06,266.43,267.41,267.41,73543
2012-03-27,270.62,270.87,268.97,270.71,270.71,79633
2012-03-28,269.86,270.55,269.07,269.64,269.64,74424
2012-03-29,267.87,268.72,266.15,267.13,267.13,81470
2012-03-30,266.5,267.22,265.19,266.58,266.58,84296
2012-04-02,267.72,269.36,266.8,268.99,268.99,67188
2012-04-03,270.66,272.83,270.31,272.46,272.46,89676
2012-04-04,272.13,272.48,267.98,268.33,268.33,94921
2012-04-05,266.69,270.33,265.48,269.96,269.96,84363
2012-04-06,269.54,270.41,268.96,269.97,269.97,81238
2012-04-09,266.95,267.24,265.44,265.88,265.88,76048
2012-04-10,266.48,267.81,264.83,265.38,265.38,71706
2012-04-12,263.88,263.95,261.47,263.95,263.95,73627
2012-04-13,265.95,267.27,265.11,266.86,266.86,75455
2012-04-16,263.58,265.4,263.28,264.49,264.49,57339
2012-04-17,264.72,265.43,263.02,263.32,263.32,58805
2012-04-18,267.39,267.51,265.72,266.22,266.22,66985
2012-04-19,265.6,266.86,264.74,265.58,265.58,62062
2012-04-20,263.79,263.83,261.25,261.84,261.84,66065
2012-04-23,261.31,262.8,260.34,261.66,261.66,52135
2012-04-24,259.47,261.82,259.22,260.76,260.76,66407
2012-04-25,263.24,263.24,260.72,260.82,260.82,68589
2012-04-26,262.89,263.25,260.28,261.51,261.51,73178
2012-04-27,262.7,264.48,262.3,263.43,263.43,75942
